127.0.0.1 - - [24/Aug/2026:11:11:43 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:11:44 +0530] "GET /JSP_API/MVC/Search.html HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:11:45 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:12:16 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:12:23 +0530] "GET /JSP_API/MVC/Edit.jsp HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:12:35 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:12:36 +0530] "GET /JSP_API/MVC/Delete.jsp?uid=1 HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:19:31 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:19:34 +0530] "GET /JSP_API/MVC/Edit.jsp HTTP/1.1" 500 2375
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:19:57 +0530] "GET /JSP_API/MVC/Search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:19:58 +0530] "GET /JSP_API/MVC/Search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:19:59 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:20:00 +0530] "GET /JSP_API/MVC/Edit.jsp HTTP/1.1" 500 2375
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:21:14 +0530] "GET /JSP_API/MVC/Search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:21:16 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:21:17 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:30:52 +0530] "GET /JSP_API/MVC/Search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:30:54 +0530] "GET /JSP_API/MVC/Search.jsp?myid=3 HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:31:03 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:31:05 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:33:01 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 500 3205
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:33:05 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:33:06 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 500 3205
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:33:19 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:33:20 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 500 3205
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:33:23 +0530] "GET /JSP_API/MVC/Search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:33:26 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:33:28 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 500 3205
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:37:58 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:38:00 +0530] "GET /JSP_API/MVC/Search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:38:02 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:38:03 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 500 3205
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:38:25 +0530] "GET /JSP_API/MVC/Search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:38:27 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:38:28 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 500 2989
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:38:46 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:38:48 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:39:19 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:43:56 +0530] "GET /JSP_API/MVC/Search.jsp?myid=1 HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:43:57 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:44:13 +0530] "GET /JSP_API/MVC/Update.jsp?myid=1&myname=ab&myemail=ab%40gmail.com&mycity=Baramati&myage=24 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:44:52 +0530] "GET /JSP_API/MVC/Edit.jsp?uid=1 HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [24/Aug/2026:11:45:02 +0530] "GET /JSP_API/MVC/Update.jsp?id=1&myname=ab&myemail=ab%40gmail.com&mycity=Baramati&myage=24 HTTP/1.1" 200 153
